tweet_original;tweet_preprocesado;puntaje_positivo;puntaje_negativo;sentimiento_calculado;sentimiento;tiempo_fuzz;tiempo_defuzz;tiempo_total
i mean i m down with notre dame if i have to it s a good school i d be closer to dan i d enjoy it;mean notre dame good school closer dan enjoy;0.5;0.0;8.31;Positivo;0.00010275840759277344;0.008791208267211914;0.008893966674804688
i can t watch tv without a tivo and after all these years the time warner dvr still sucks;watch tv without tivo year time warner dvr still suck;0.0;0.24;4.45;Neutro;0.0001475811004638672;0.010687112808227539;0.010834693908691406
i d say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis;say sport writer idiot saying roger federer one best ever tennis roger federer best ever tennis;0.34;0.13;6.18;Neutro;0.00010728836059570312;0.01086282730102539;0.010970115661621094
i still love my kindle but reading the new york times on it does not feel natural i miss the bloomingdale ads;still love kindle reading new york time feel natural miss bloomingdale ad;0.39;0.09;6.75;Positivo;0.00012540817260742188;0.010827064514160156;0.010952472686767578
i love my kindle no more stacks of books to trip over on the way to the loo;love kindle stack book trip way loo;0.41;0.0;7.47;Positivo;0.00012993812561035156;0.011683940887451172;0.011813879013061523
although today s keynote rocked for every great announcement at amp t shit on us just a little bit more;although today keynote rocked every great announcement amp shit u little bit;0.25;0.22;5.23;Neutro;0.00010657310485839844;0.009571552276611328;0.009678125381469727
its not so much my obsession with cell phones but the iphone i m a slave to at amp t forever because of it;much obsession cell phone iphone slave amp forever;0.0;0.26;4.35;Neutro;0.000110626220703125;0.010380744934082031;0.010491371154785156
fuzzball is more fun than at amp t p;fuzzball fun amp p;0.62;0.0;8.16;Positivo;0.00010943412780761719;0.00831294059753418;0.008422374725341797
today is a good day to dislike at amp t vote out of office indeed;today good day dislike amp vote office indeed;0.25;0.23;5.19;Neutro;9.989738464355469e-05;0.009390830993652344;0.009490728378295898
got my wave sandbox invite extra excited too bad i have class now but i ll play with it soon enough io wave;got wave sandbox invite extra excited bad class play soon enough io wave;0.34;0.18;5.81;Neutro;0.00011134147644042969;0.010060787200927734;0.010172128677368164
looks like summize has gone down too many tweets from wwdc perhaps;look like summize gone many tweet wwdc perhaps;0.26;0.0;5.81;Neutro;0.00013017654418945312;0.010343790054321289;0.010473966598510742
thanks so much from one of your very happy kindle winners i was so surprised fabulous thank you best kathleen;thanks much one happy kindle winner surprised fabulous thank best kathleen;0.85;0.0;8.31;Positivo;0.00010418891906738281;0.009052753448486328;0.009156942367553711
man i kinda dislike apple right now case in point the iphone gs wish there was a video recorder app please;man kinda dislike apple right case point iphone g wish video recorder app please;0.29;0.13;5.8;Neutro;0.0001456737518310547;0.010015249252319336;0.01016092300415039
i have a kindle amp sony prs like it physical device feels good font is nice pg turns are snappy enuf ui a little klunky;kindle amp sony pr like physical device feel good font nice pg turn snappy enuf ui little klunky;0.35;0.0;6.61;Neutro;0.00011277198791503906;0.011331558227539062;0.011444330215454102
the kindle seems the best ereader but will it work in the uk and where can i get one;kindle seems best ereader work uk get one;0.38;0.0;6.99;Positivo;0.00011301040649414062;0.011113405227661133;0.011226415634155273
i have a google addiction thank you for pointing that out hahaha;google addiction thank pointing hahaha;0.67;0.0;8.07;Positivo;0.00011968612670898438;0.008060216903686523;0.008179903030395508
dearest you rich bastards the visa card you sent me doesn t work why screw a little guy like me;dearest rich bastard visa card sent work screw little guy like;0.46;0.24;5.65;Neutro;0.00017309188842773438;0.01032710075378418;0.010500192642211914
excited about seeing bobby flay and guy fieri tomorrow at the great american food amp music fest;excited seeing bobby flay guy fieri tomorrow great american food amp music fest;0.37;0.0;6.85;Positivo;0.00010180473327636719;0.01162409782409668;0.011725902557373047
gonna go see bobby flay moro at shoreline eat and drink gonna be good;gon na go see bobby flay moro shoreline eat drink gon na good;0.2;0.0;5.47;Neutro;0.0001621246337890625;0.011033773422241211;0.011195898056030273
can t wait for the great american food and music festival at shoreline tomorrow mmm katz pastrami and bobby flay yes please;wait great american food music festival shoreline tomorrow mmm katz pastrami bobby flay yes please;0.53;0.0;8.29;Positivo;9.894371032714844e-05;0.008886098861694336;0.008985042572021484
my dad was in ny for a day we ate at mesa grill last night and met bobby flay so much fun except i completely lost my voice today;dad ny day ate mesa grill last night met bobby flay much fun except completely lost voice today;0.15;0.12;5.12;Neutro;0.00010275840759277344;0.011196374893188477;0.01129913330078125
fighting with latex again;fighting latex;0.0;0.71;1.87;Negativo;0.000118255615234375;0.008371591567993164;0.008489847183227539
we love you too and don t want you to die latex the devil;love want die latex devil;0.37;0.56;4.92;Neutro;0.00018453598022460938;0.013880014419555664;0.014064550399780273
hours hours of inkscape crashing normally solid as a rock hours of latex complaining at the slightest thing i can t take any more;hour hour inkscape crashing normally solid rock hour latex complaining slightest thing take;0.11;0.12;5.0;Neutro;0.00011658668518066406;0.011617898941040039;0.011734485626220703
shit s hitting the fan in iran craziness indeed iranelection;shit hitting fan iran craziness indeed iranelection;0.18;0.5;4.12;Neutro;0.00012874603271484375;0.011205196380615234;0.011333942413330078
monday already iran may implode kitchen is a disaster seems happy had a nice weekend and is great whoop;monday already iran may implode kitchen disaster seems happy nice weekend great whoop;0.45;0.17;6.09;Neutro;0.00012040138244628906;0.010883808135986328;0.011004209518432617
getting ready to test out some burger receipes this weekend bobby flay has some great receipes to try thanks bobby;getting ready test burger receipes weekend bobby flay great receipes try thanks bobby;0.49;0.0;8.32;Positivo;0.0001220703125;0.009279727935791016;0.009401798248291016
i lam so in love with bobby flay he is my favorite rt you need a place in phoenix we have great peppers here;lam love bobby flay favorite rt need place phoenix great pepper;0.58;0.0;8.22;Positivo;0.00015211105346679688;0.009821653366088867;0.009973764419555664
i just created my first latex file from scratch that didn t work out very well see it s a great time waster;created first latex file scratch work well see great time waster;0.51;0.0;8.31;Positivo;0.00015306472778320312;0.010830402374267578;0.010983467102050781
using linux and loving it so much nicer than windows looking forward to using the wysiwyg latex editor;using linux loving much nicer window looking forward using wysiwyg latex editor;0.41;0.0;7.47;Positivo;0.00012826919555664062;0.01105952262878418;0.01118779182434082
after using latex a lot any other typeset mathematics just looks hideous;using latex lot typeset mathematics look hideous;0.0;0.0;5.0;Neutro;0.00010418891906738281;0.014884710311889648;0.014988899230957031
on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn rds can come kill me now;note hate word hate page hate latex said hate latex texn rds come kill;0.0;0.68;1.83;Negativo;0.00012111663818359375;0.008830070495605469;0.008951187133789062
ahhh back in a real text editing environment i lt latex;ahhh back real text editing environment lt latex;0.0;0.0;5.0;Neutro;0.00022912025451660156;0.014290094375610352;0.014519214630126953
trouble in iran i see hmm iran iran so far away flockofseagullsweregeopoliticallycorrect;trouble iran see hmm iran iran far away flockofseagullsweregeopoliticallycorrect;0.0;0.25;4.4;Neutro;0.00012063980102539062;0.010688543319702148;0.010809183120727539
reading the tweets coming out of iran the whole thing is terrifying and incredibly sad;reading tweet coming iran whole thing terrifying incredibly sad;0.0;0.5;1.67;Negativo;0.0001354217529296875;0.00954294204711914;0.009678363800048828
